driverId,week,hours-logged,miles-logged
94,40,63,300
21,35,73,2800
61,29,68,0
93,3,69,4000
30,40,79,2300
79,3,53,600
23,11,56,300
47,25,55,0
85,29,78,1000
37,15,58,1800
53,35,74,3300
95,11,77,2000
104,4,58,2900
85,11,54,200
107,12,78,1500
16,2,57,2900
21,22,51,3100
39,42,78,1200
90,10,62,2500
31,12,53,3500
63,23,73,1500
26,48,67,3100
27,2,53,2000
98,45,74,800
78,39,50,1300
48,11,65,500
84,41,51,3800
73,12,75,4000
49,30,68,2400
84,3,66,1500
104,28,67,1700
45,43,53,300
66,5,80,500
35,44,73,1100
41,47,80,0
13,44,62,3000
45,43,75,600
26,46,78,2000
105,14,54,3800
39,23,51,600
88,14,73,3600
90,23,71,1800
20,39,66,2300
102,29,59,2200
97,5,55,4000
58,6,58,900
73,40,56,0
23,10,76,2600
109,45,77,600
19,23,56,2300
81,42,71,700
105,27,58,1600
108,21,64,1300
98,8,70,2300
107,43,68,1000
40,10,54,3900
19,23,66,1300
62,17,80,3400
109,50,76,2600
49,1,73,2200
102,13,55,3500
91,1,65,3400
74,11,50,1100
46,42,51,1100
10,52,78,100
77,14,73,2000
14,28,64,1500
97,31,78,0
85,25,77,3700
24,50,80,3800
67,2,55,1700
78,39,50,1400
109,21,68,2500
99,34,63,2100
12,30,50,3300
15,26,78,2300
105,23,59,2500
13,16,55,2400
40,40,68,3400
99,25,63,1500
102,4,79,3000
60,35,53,1400
98,15,52,0
81,35,55,400
26,5,52,1500
76,50,74,1900
25,27,58,0
94,4,55,1800
89,4,55,400
41,39,54,4000
54,8,68,2200
80,36,63,1300
49,44,64,1900
66,9,52,2200
15,30,74,2500
63,17,77,1500
30,19,75,3900
90,36,56,2700
107,26,67,100
20,45,71,2400
42,40,58,2200
66,52,66,3200
35,16,69,3600
89,31,78,1300
74,19,60,2200
41,34,69,300
66,48,57,1900
32,3,50,100
46,16,73,2200
66,38,70,2800
107,2,56,3900
104,14,63,1000
17,28,60,1900
68,9,63,2800
96,13,63,2300
64,47,65,0
74,17,77,1300
88,18,79,2000
29,47,52,1000
41,20,64,900
87,34,53,3800
63,24,56,3900
93,45,61,3500
70,29,65,3800
10,3,69,300
76,39,72,3300
70,40,78,2200
56,14,76,2900
18,14,68,1600
86,42,70,400
108,17,53,3700
17,7,53,3300
73,42,65,700
33,38,71,1400
11,9,69,3900
62,25,63,3100
103,10,69,1800
45,23,68,300
23,23,55,1400
80,21,74,2500
92,30,53,2100
89,20,52,3300
49,23,70,2500
75,24,65,1200
16,2,65,300
103,47,56,900
24,11,55,2400
21,34,80,900
105,43,63,900
19,6,59,1600
54,48,66,3900
36,50,68,200
76,2,61,1000
18,44,63,1000
